,accuracy,loss
0,0.534074068069458,0.06552574783563614
1,0.7511110901832581,0.03917519003152847
2,0.8812962770462036,0.02268301323056221
3,0.9198148250579834,0.013935286551713943
4,0.9481481313705444,0.008408033289015293
5,0.995555579662323,0.003126820083707571
6,0.9990741014480591,0.0008538757683709264
0,0.5942592620849609,0.06327810883522034
1,0.8005555272102356,0.03483392670750618
2,0.9609259366989136,0.010255533270537853
3,0.9916666746139526,0.00377067644149065
4,0.9988889098167419,0.0012292054016143084
5,0.9983333349227905,0.0005539638223126531
0,0.5916666388511658,0.06291555613279343
1,0.8140740990638733,0.03171422332525253
2,0.9551851749420166,0.014277330599725246
3,0.9909259080886841,0.004317512270063162
4,0.9981481432914734,0.00113640574272722
5,1.0,0.00023215284454636276
0,0.5981481671333313,0.059925295412540436
1,0.8427777886390686,0.027100997045636177
2,0.9422222375869751,0.013138796202838421
3,0.978518545627594,0.0052877794951200485
4,0.9944444298744202,0.0015053133247420192
5,0.9992592334747314,0.0005254717543721199
0,0.6846296191215515,0.054489362984895706
1,0.8712962865829468,0.02339179627597332
2,0.9540740847587585,0.010554244741797447
3,0.9807407259941101,0.004519884008914232
4,0.9903703927993774,0.0020912333857268095
5,0.997592568397522,0.0006106130895204842
0,0.6298148036003113,0.06036654859781265
1,0.8077777624130249,0.03397831320762634
2,0.9162963032722473,0.017344333231449127
3,0.955740749835968,0.009874329902231693
4,0.9681481719017029,0.006918477825820446
5,0.9838888645172119,0.003815172938629985
6,0.9890740513801575,0.0027022657450288534
7,0.993148148059845,0.0019834970589727163
8,0.9950000047683716,0.0013468636898323894
9,0.9977777600288391,0.0007350092637352645
0,0.6155555844306946,0.06239673122763634
1,0.8874074220657349,0.023976098746061325
2,0.9729629755020142,0.00799593422561884
3,0.9948148131370544,0.0022399488370865583
4,0.9959259033203125,0.0010494205635040998
5,0.9990741014480591,0.0003502679173834622
0,0.5951851606369019,0.05814484879374504
1,0.8440740704536438,0.030921483412384987
2,0.9388889074325562,0.013919764198362827
3,0.993148148059845,0.0024849751498550177
4,0.9987037181854248,0.0005808850401081145
0,0.5894444584846497,0.0625661090016365
1,0.8779629468917847,0.02665949985384941
2,0.9375925660133362,0.013350948691368103
3,0.9696296453475952,0.006336797960102558
4,0.9762963056564331,0.004329561721533537
5,0.9961110949516296,0.001175581943243742
6,0.9992592334747314,0.00040197288035415113
0,0.5411111116409302,0.06648112088441849
1,0.8114814758300781,0.031828947365283966
2,0.949999988079071,0.0129189258441329
3,0.9909259080886841,0.0027284729294478893
4,0.9988889098167419,0.0004851055273320526
0,0.6211110949516296,0.059096336364746094
1,0.8183333277702332,0.030557751655578613
2,0.9492592811584473,0.01289274450391531
3,0.9883333444595337,0.003837668104097247
4,0.9990741014480591,0.0008901822147890925
0,0.6081481575965881,0.06056440994143486
1,0.8496296405792236,0.02883475087583065
2,0.9609259366989136,0.01039374340325594
3,0.9844444394111633,0.0041371965780854225
4,0.9962962865829468,0.0016889104153960943
5,0.9988889098167419,0.0006887452909722924
0,0.6437036991119385,0.05663298815488815
1,0.9061111211776733,0.02220739796757698
2,0.9862962961196899,0.0050941817462444305
3,1.0,0.0006894758553244174
0,0.6262962818145752,0.05764586105942726
1,0.7911111116409302,0.0370141938328743
2,0.8957407474517822,0.020009368658065796
3,0.9244444370269775,0.013283041305840015
4,0.9498147964477539,0.008345904760062695
5,0.9857407212257385,0.0033554676920175552
6,0.9972222447395325,0.0013845653738826513
7,0.9998148083686829,0.0005281387711875141
0,0.6237037181854248,0.05679105967283249
1,0.8059259057044983,0.03472287952899933
2,0.9407407641410828,0.014638852328062057
3,0.9827777743339539,0.005407740827649832
4,0.9877777695655823,0.003028315491974354
5,0.9964814782142639,0.0011552158975973725
6,0.9961110949516296,0.0009790605399757624
0,0.6174073815345764,0.06030898913741112
1,0.8542592525482178,0.027232658118009567
2,0.928518533706665,0.012456050142645836
3,0.9633333086967468,0.006805442739278078
4,0.9885185360908508,0.002924184547737241
5,0.9946296215057373,0.0014731826959177852
6,0.9938889145851135,0.0013931369176134467
7,0.9996296167373657,0.0003622676304075867
0,0.597777783870697,0.059809599071741104
1,0.8133333325386047,0.03239131346344948
2,0.925000011920929,0.013914909213781357
3,0.9725925922393799,0.006145544350147247
4,0.9766666889190674,0.006183596793562174
5,0.9974074363708496,0.0012759548844769597
6,0.9972222447395325,0.0007872161222621799
0,0.5562962889671326,0.06293711066246033
1,0.8703703880310059,0.025647586211562157
2,0.9675925970077515,0.007702724542468786
3,0.9911110997200012,0.0027825185097754
4,0.9979629516601562,0.0008566942997276783
0,0.5255555510520935,0.06862049549818039
1,0.8222222328186035,0.029185701161623
2,0.9129629731178284,0.01560534443706274
3,0.9905555844306946,0.005321481265127659
4,0.9911110997200012,0.002583466237410903
5,0.997592568397522,0.0007247572648338974
0,0.6174073815345764,0.05944765359163284
1,0.8411111235618591,0.027717335149645805
2,0.9537037014961243,0.011957207694649696
3,0.9946296215057373,0.003838710719719529
4,0.9964814782142639,0.0011343496153131127
5,0.9987037181854248,0.0004608696617651731
0,0.6394444704055786,0.055338989943265915
1,0.8501851558685303,0.028776567429304123
2,0.9812963008880615,0.006443635560572147
3,0.9996296167373657,0.000962938298471272
0,0.6416666507720947,0.05558108910918236
1,0.8359259366989136,0.028203116729855537
2,0.9535185098648071,0.010913587175309658
3,0.9890740513801575,0.003690225537866354
4,0.9992592334747314,0.0007679383852519095
0,0.6603703498840332,0.05621132627129555
1,0.9181481599807739,0.018514186143875122
2,0.9835185408592224,0.006487142760306597
3,0.9933333396911621,0.0023500784300267696
4,0.9970370531082153,0.0009506318019703031
0,0.6296296119689941,0.05853195860981941
1,0.8601852059364319,0.02664983458817005
2,0.985370397567749,0.005598666612058878
3,0.9974074363708496,0.0012684155954048038
4,1.0,0.00032622748403809965
0,0.6320370435714722,0.05741890147328377
1,0.8594444394111633,0.02792373299598694
2,0.9744444489479065,0.007245243992656469
3,0.9985185265541077,0.0012212805449962616
4,1.0,0.0001894704910228029
0,0.6479629874229431,0.05725863575935364
1,0.8744444251060486,0.023458439856767654
2,0.9561111330986023,0.010154061019420624
3,0.9792592525482178,0.00477752648293972
4,0.9938889145851135,0.0015855986857786775
5,0.9987037181854248,0.00040242442628368735
0,0.5685185194015503,0.06629239022731781
1,0.8594444394111633,0.027494944632053375
2,0.9398148059844971,0.014551769942045212
3,0.9896296262741089,0.0033882688730955124
4,0.9988889098167419,0.0007316005066968501
0,0.6287037134170532,0.058380600064992905
1,0.8066666722297668,0.034033481031656265
2,0.9566666483879089,0.011562760919332504
3,0.9940740466117859,0.003193871583789587
4,0.9979629516601562,0.001431565498933196
5,1.0,0.0004367654037196189
0,0.5631481409072876,0.06613748520612717
1,0.8231481313705444,0.031532172113657
2,0.9750000238418579,0.009341852739453316
3,0.989814817905426,0.0034069749526679516
4,0.9983333349227905,0.000825169903691858
0,0.5046296119689941,0.06689674407243729
1,0.7764815092086792,0.034472715109586716
2,0.9153703451156616,0.017239902168512344
3,0.992222249507904,0.00430159131065011
4,0.9983333349227905,0.0008541268180124462
